SETTINGS:
SimulateBool,DiskPlotBool,TrajectoryBool,VecPlotBool,XYCrossBool,XZCrossBool,BFieldTests,TimeDirection,Relativistic,HaloFieldBool,XFieldBool,DiskFieldBool,StopRadius,StopRadiusSensitivity,StopDistance,TimeoutSeconds,RelativisticVelThreshold,PrintStatus
True,False,False,False,False,False,False,1,True,True,True,True,20.01,0.1,-1,60,0.15,False

RUN DATA:
run #,mass,time (Y.m.d.H.M.S),dt,q_b,pos0[x],pos0[y],pos0[z],vel0[x],vel0[y],vel0[z],posF[x],posF[y],posF[z],velF[x],velF[y],velF[z],distanceTraveled,maxVelocity,arcLengthInRho1kpcRegion,iterations
1,1.7826618400000002e-12,2017.03.20.17.09.00,50000000000.0,1.066559779e-28,11.521735165611668,-16.0,-3.3540451358780783,-1.2635814632138021e-13,-1.373887876409187e-14,5.215880594848512e-14,-7.2771590361261067,-17.943800841448983,5.0606094906018289,-1.2854553794165423e-13,-1.7183070841273952e-14,6.3334419250137152e-14,20.693047035668855,1.3738878764091877e-13,0.0,2948
2,1.7826618400000002e-12,2017.03.20.17.09.00,50000000000.0,1.066559779e-28,11.521735165611668,-16.0,-3.3540451358780783,-9.6639970983572096e-14,4.1216636292275654e-14,8.8530129732685285e-14,-5.4547848775262011,-12.954168890032525,14.250268868134047,-1.142996315374581e-13,-2.1431315105458886e-14,1.6116651280373724e-13,25.040398676888262,1.373887876409188e-13,0.0,3128
3,1.7826618400000002e-12,2017.03.20.17.09.00,50000000000.0,1.066559779e-28,11.521735165611668,-16.0,-3.3540451358780783,1.0402103340447919e-14,6.8694393820459398e-14,-1.1852660238602871e-13,-1.8215014039043349,12.140726142423697,15.810193111364811,5.5546202631282889e-15,9.28743917075209e-14,3.0182631069807461e-13,65.594151506634319,1.3738878764091877e-13,0.0,8705
4,1.7826618400000002e-12,2017.03.20.17.09.00,50000000000.0,1.066559779e-28,11.521735165611668,-16.0,-3.3540451358780783,5.9697112325590528e-14,9.6172151348643154e-14,7.7864311814855067e-14,18.218666636429642,-4.5849486445769267,6.8920319524700853,5.4398909188905064e-14,8.6222004471387207e-14,8.7984427740509449e-14,16.751701549903377,1.3738878764091877e-13,0.0,2512
5,1.7826618400000002e-12,2017.03.20.17.09.00,50000000000.0,1.066559779e-28,11.521735165611668,-16.0,-3.3540451358780783,-5.8970930039820774e-14,1.236499088768269e-13,-1.0431127188968722e-14,-19.883746856891992,0.77574334011684609,2.1809152107048675,-3.6416026717962127e-13,1.965901654177553e-13,1.0183391253985817e-13,37.398434330731625,1.3738878764091877e-13,0.0,2925
6,1.7826618400000002e-12,2017.03.20.17.09.00,50000000000.0,1.066559779e-28,11.521735165611668,-16.0,-3.3540451358780783,-3.7225278291900735e-12,-4.0474919924135422e-13,1.5366053739560728e-12,-7.4632723669709824,-18.064087222194885,4.48337164931222,-3.7225627471024685e-12,-4.0482668072026039e-13,1.5369160207218871e-12,20.642579033623537,4.0474919924135442e-12,0.0,102
7,1.7826618400000002e-12,2017.03.20.17.09.00,50000000000.0,1.066559779e-28,11.521735165611668,-16.0,-3.3540451358780783,-2.8470264234764123e-12,1.2142475977240639e-12,2.6081094195029878e-12,-9.6910392694963647,-6.9632620068918749,16.086792763801295,-2.8476563284858638e-12,1.2113594668601975e-12,2.6117799785945792e-12,30.159422220357939,4.0474919924135442e-12,0.0,149
8,1.7826618400000002e-12,2017.03.20.17.09.00,50000000000.0,1.066559779e-28,11.521735165611668,-16.0,-3.3540451358780783,3.0644735060011318e-13,2.0237459962067725e-12,-3.4918095012183857e-12,12.18039896238737,-11.648696621421273,-10.861112926947444,3.0612903580638953e-13,2.0241026177391937e-12,-3.4913259835939662e-12,8.7019392121243211,4.0474919924135442e-12,0.0,43
9,1.7826618400000002e-12,2017.03.20.17.09.00,50000000000.0,1.066559779e-28,11.521735165611668,-16.0,-3.3540451358780783,1.7586848843848182e-12,2.8332443946894814e-12,2.2938930023104295e-12,18.643628151762552,-4.5259178997153677,5.9366784879524168,1.7584763183031873e-12,2.8329737081206553e-12,2.2941550314254925e-12,16.391871937648958,4.0474919924135442e-12,0.0,81
10,1.7826618400000002e-12,2017.03.20.17.09.00,50000000000.0,1.066559779e-28,11.521735165611668,-16.0,-3.3540451358780783,-1.7372914574745551e-12,3.6427427931721902e-12,-3.0730239704527146e-13,-4.9863710448633691,18.461424697197771,-6.2066430616580899,-1.739563244618664e-12,3.633148864380496e-12,-2.9448305755076087e-13,38.317722445609562,4.0474919924135442e-12,0.0,379
