ERROR CODE,start time (YYYYMMDD-hhmmssms),v0 (kpc/s),mag(v0) (kpc/s),mag(v0/c),E0 (kg*kpc^2/s^2),theta0 (rads),phi0 (rads),q_b (A*kpc),mass (kg),dt (s),distance to halt (kpc),end time (YYYYMMDD-hhmmssms),vel_final (kpc/s),mag(vel_final) (kpc/s),mag(vel_final/c),pos_final(kpc),mag(pos_final) (kpc),theta_final (rads),phi_final (rads),distance tracked (kpc),distance from start (kpc),KE_final (kg*kpc^2/s^2),max velocity (kpc/s),max velocity/c,arclength in rho1kpc region (kpc),time after t=0 start (s),iterations,real runtime (real s),acc_final (kpc/s/s),exit status (True/False)
SUCCESS,20160910-15072186,[ -4.67111569e-14  -8.25780816e-14  -2.09089385e-14],9.71506842029e-14,0.009999440804,1.6827e-36,1.7877152038,4.19760192681,1.06655979e-28,1.78266184e-12,50000000000.0,-1,20160910-15072405,[ -5.94946551e-14  -1.03723782e-13  -1.25572350e-14],1.20232778633e-13,0.0123752144672,[ 11.25133235 -16.32903449  -2.69368409],20.0121408364,1.70580862259,5.31572024211,18.7289020886,18.7198420679,76581765784.0,9.71506842029e-14,0.009999440804,0.0,1.57e+14,3140,2.19499993324,[ -2.17467527e-29   3.15376153e-29   4.40701706e-29],True
SUCCESS,20160910-15072420,[ -3.59388503e-14  -6.31479447e-14   6.44902439e-14],9.71506842029e-14,0.009999440804,1.6827e-36,0.844885832215,4.19498380451,1.06655979e-28,1.78266184e-12,50000000000.0,-1,20160910-15072582,[ -2.54485718e-14  -7.52329552e-14   7.94751470e-14],1.12356247489e-13,0.0115645057464,[ 15.88391701  -8.75628058   8.45404128],20.0110490226,1.13462906301,5.77936980913,12.8628639093,12.8485564444,66875607101.3,9.71506842029e-14,0.009999440804,0.0,1.2225e+14,2445,1.62699985504,[  2.27756415e-28  -1.25464705e-28   2.99109192e-28],True
SUCCESS,20160910-15072599,[ -1.87514480e-14  -5.34328763e-14  -7.89402709e-14],9.71506842029e-14,0.009999440804,1.6827e-36,2.51931845883,4.37488175,1.06655979e-28,1.78266184e-12,50000000000.0,-1,20160910-15072723,[ -2.58786833e-14  -5.86929057e-14  -7.21642526e-14],9.65517621789e-14,0.00993779548082,[ 18.02234592  -5.32061616  -6.87804765],20.0105334283,1.92167316576,5.99611656121,8.92048483491,8.91782548631,49383549290.9,9.71506842029e-14,0.009999440804,0.0,8.975e+13,1795,1.25,[ -1.42232300e-28   4.19563158e-29   1.70580227e-28],True
SUCCESS,20160910-15072741,[ -9.00418888e-14  -3.40027395e-14   1.32108822e-14],9.71506842029e-14,0.009999440804,1.6827e-36,1.43439029209,3.50266922932,1.06655979e-28,1.78266184e-12,50000000000.0,-1,20160910-15073017,[ -4.72433985e-14  -1.24210310e-13   1.09896746e-13],1.724454539e-13,0.0177493151216,[  3.33910134 -16.99620449  10.02203454],20.0115402001,1.04625881023,4.90637991846,27.1286871761,25.8243622863,157556327940.0,9.71506842029e-14,0.009999440804,0.0,2.198e+14,4396,2.76000022888,[  8.90555730e-29  -4.52385883e-28   5.30421433e-28],True
SUCCESS,20160910-15073035,[ -6.95890405e-14  -4.85753421e-15  -6.76167527e-14],9.71506842029e-14,0.009999440804,1.6827e-36,2.34060619489,3.21128276205,1.06655979e-28,1.78266184e-12,50000000000.0,-1,20160910-15073293,[ -2.30156643e-13  -1.80422839e-13   1.19996026e-14],2.92691769172e-13,0.0301259228761,[ -1.52221815 -18.75285301  -6.82215157],20.0132055488,1.91865179044,4.63139394404,31.2624633041,29.3499083881,454094748100.0,9.71506842029e-14,0.009999440804,0.0,1.7415e+14,3483,2.57800006866,[  1.16523847e-29   1.45337485e-28   1.67796610e-28],True
SUCCESS,20160910-15073309,[ -6.43301605e-14   4.85753421e-15   7.26380771e-14],9.71506842029e-14,0.009999440804,1.6827e-36,0.72622778711,3.0662262376,1.06655979e-28,1.78266184e-12,50000000000.0,-1,20160910-15163603,[ -8.67542208e-15  -2.95537154e-15   1.42229893e-13],1.42524873735e-13,0.0146696757692,[ 12.63008342  -0.35195337  15.52133605],20.0138639759,0.683243397749,6.25532624205,17.7522067511,17.1857910575,107617067427.0,9.71506842029e-14,0.009999440804,0.0,1.615e+14,3230,542.953000069,[  3.10980484e-28  -8.65952792e-30   5.17816904e-28],True
SUCCESS,20160910-15164168,[ -1.61482156e-15   1.45726026e-14  -9.60379459e-14],9.71506842029e-14,0.009999440804,1.6827e-36,2.99009566838,1.68115823202,1.06655979e-28,1.78266184e-12,50000000000.0,-1,20160910-15164198,[ -2.97861581e-15   9.36082083e-15  -9.56777939e-14],9.61807536384e-14,0.00989960863767,[ 19.96284617   0.14797566  -1.36613039],20.0100833667,1.639121574,0.00741241738786,1.37478587517,1.37462337965,49004729454.9,9.71506842029e-14,0.009999440804,0.0,1.425e+13,285,0.308000087738,[ -2.63525987e-29  -1.19010491e-30   3.00885117e-29],True
SUCCESS,20160910-15164215,[ -9.07783645e-14   3.40027395e-14  -6.43099435e-15],9.71506842029e-14,0.009999440804,1.6827e-36,1.63704084554,2.7832001099,1.06655979e-28,1.78266184e-12,50000000000.0,-1,20160910-15164499,[ -1.90049739e-14  -1.29132921e-13   1.25250714e-13],1.80898429439e-13,0.0186193556078,[  3.23244516 -17.09128726   9.8977074 ],20.0131310295,1.05346704819,4.89930941111,30.7906499695,25.9080606618,173385291630.0,9.71506842029e-14,0.009999440804,0.0,2.4075e+14,4815,2.83999991417,[  8.19385966e-29  -4.32666194e-28   5.06593128e-28],True
SUCCESS,20160910-15164515,[ -1.27873487e-14   5.34328763e-14   8.01228237e-14],9.71506842029e-14,0.009999440804,1.6827e-36,0.601076457313,1.80569457375,1.06655979e-28,1.78266184e-12,50000000000.0,-1,20160910-15164607,[ -1.16731315e-14   4.73785497e-14   8.28180051e-14],9.61239352924e-14,0.00989376048857,[ 19.23722517   2.78620262   4.75260081],20.0105215275,1.33099968197,0.143833752194,5.5621893254,5.56165128262,48946843661.6,9.71506842029e-14,0.009999440804,0.0,5.855e+13,1171,0.925999879837,[  7.17124820e-29   1.03738452e-29   8.33483314e-29],True
SUCCESS,20160910-15164625,[ -4.06672971e-14   6.31479447e-14  -6.16178827e-14],9.71506842029e-14,0.009999440804,1.6827e-36,2.25783519004,2.14294228227,1.06655979e-28,1.78266184e-12,50000000000.0,-1,20160910-15165030,[ -2.84631634e-13  -2.04418207e-13   1.06588079e-13],3.66282663013e-13,0.0377004221471,[ -5.499256   -19.24648448   0.03254434],20.0167440036,1.56917047049,4.43407681127,44.7219240333,31.9474612513,711419399502.0,9.71506842029e-14,0.009999440804,0.0,3.0185e+14,6037,4.04999995232,[ 0.  0.  0.],True
