ERROR CODE,start time (YYYYMMDD-hhmmssms),v0 (kpc/s),mag(v0) (kpc/s),mag(v0/c),E0 (kg*kpc^2/s^2),theta0 (rads),phi0 (rads),q_b (A*kpc),mass (kg),dt (s),distance to halt (kpc),end time (YYYYMMDD-hhmmssms),vel_final (kpc/s),mag(vel_final) (kpc/s),mag(vel_final/c),pos_final(kpc),mag(pos_final) (kpc),theta_final (rads),phi_final (rads),distance tracked (kpc),distance from start (kpc),KE_final (kg*kpc^2/s^2),max velocity (kpc/s),max velocity/c,arclength in rho1kpc region (kpc),time after t=0 start (s),iterations,real runtime (real s),acc_final (kpc/s/s),exit status (True/False)
SUCCESS,20160921-02395340,[ -5.11758183e-14  -8.25780816e-14  -3.89241253e-16],9.71506842029e-14,0.009999440804,1.6827e-36,1.57480290995,4.1575908987,1.06655979e-28,1.78266184e-12,50000000000.0,-1,20160921-02395515,[ -1.08119766e-13  -1.85472718e-13   3.86438837e-15],2.14720624051e-13,0.0221005769256,[ 10.63840673 -16.95029478   0.19190685],20.0131211751,1.56120712846,5.27287277711,19.370838562,19.3646262538,4.11098245214e-38,9.71506842029e-14,0.009999440804,0.0,1.1585e+14,2317,1.75099992752,[ 0.  0.  0.],True
SUCCESS,20160921-02395533,[ -7.01365848e-15  -6.31479447e-14   7.34942250e-14],9.71506842029e-14,0.009999440804,1.6827e-36,0.712855851106,4.60177524334,1.06655979e-28,1.78266184e-12,50000000000.0,-1,20160921-02395582,[ -7.65364495e-15  -6.99866407e-14   7.44468672e-14],1.02464843655e-13,0.0105464119685,[ 19.74557642  -2.21719385   2.36911882],20.0104088055,1.45212365036,6.17136557197,3.25493707437,3.25475097441,9.35890344071e-39,9.71506842029e-14,0.009999440804,0.0,3.205e+13,641,0.492000102997,[  3.45744324e-29  -3.87444793e-30   4.00200758e-29],True
SUCCESS,20160921-02395600,[ -4.88756295e-14  -5.34328763e-14  -6.47638480e-14],9.71506842029e-14,0.009999440804,1.6827e-36,2.30047875918,3.97150555384,1.06655979e-28,1.78266184e-12,50000000000.0,-1,20160921-02395854,[ -1.56726761e-13  -1.61247180e-13  -2.07359037e-14],2.25818308425e-13,0.0232428296937,[  5.66397975 -17.17507896  -8.5728731 ],20.0139490623,2.01345666958,5.03093719875,24.6110926869,23.9582755459,4.5470871653e-38,9.71506842029e-14,0.009999440804,0.0,1.6925e+14,3385,2.53699994087,[ -8.52983089e-29   2.57936248e-28   3.12561852e-28],True
SUCCESS,20160921-02395873,[ -7.71559728e-14  -3.40027395e-14   4.82599732e-14],9.71506842029e-14,0.009999440804,1.6827e-36,1.05094188159,3.55668694792,1.06655979e-28,1.78266184e-12,50000000000.0,-1,20160921-02400148,[ -1.32460758e-14  -7.70040432e-14   1.36732838e-13],1.57483174031e-13,0.0162092906424,[  9.82009166  -9.82645801  14.40966307],20.0157904396,0.767116821546,5.49746309969,21.2542037285,20.1947567613,2.21102107134e-38,9.71506842029e-14,0.009999440804,0.0,1.838e+14,3676,2.75499987602,[  2.26618062e-28  -2.26586933e-28   4.59634497e-28],True
SUCCESS,20160921-02400165,[ -9.08857742e-14  -4.85753421e-15  -3.39769899e-14],9.71506842029e-14,0.009999440804,1.6827e-36,1.92808450188,3.19498843439,1.06655979e-28,1.78266184e-12,50000000000.0,-1,20160921-02400401,[ -2.53567379e-13  -3.00083844e-13  -1.03799853e-14],3.93006963008e-13,0.0404510775647,[  1.60328516 -19.70151775  -3.1803726 ],20.0208664802,1.73032501275,4.79358881077,28.2376010971,27.142285983,1.37839229258e-37,9.71506842029e-14,0.009999440804,0.0,1.2875e+14,2575,2.36000013351,[ -3.66074225e-30   4.41351182e-29   5.09882039e-29],True
SUCCESS,20160921-02400426,[ -4.13715528e-14   1.45726026e-14   8.66850005e-14],9.71506842029e-14,0.009999440804,1.6827e-36,0.468440010906,2.80292611633,1.06655979e-28,1.78266184e-12,50000000000.0,-1,20160921-02400650,[ -5.39480808e-15   1.08016124e-14   1.29480571e-13],1.30042289834e-13,0.0133848792716,[ 15.7217338    1.17953948  12.32657729],20.0127143286,0.907221132717,0.0748857449632,13.1997779636,13.1011214309,1.50753202879e-38,9.71506842029e-14,0.009999440804,0.0,1.272e+14,2544,2.242000103,[  1.00982703e-27   7.57099934e-29   1.16472488e-27],True
SUCCESS,20160921-02400674,[ -8.57187233e-14   3.40027395e-14   3.05674603e-14],9.71506842029e-14,0.009999440804,1.6827e-36,1.25071929511,2.76395326784,1.06655979e-28,1.78266184e-12,50000000000.0,-1,20160921-02400943,[  6.99280194e-15   4.66338746e-14   1.63087764e-13],1.69768183803e-13,0.0174737514025,[  9.05659657   5.97025173  16.81980975],20.0142910781,0.57279395443,0.58282657135,23.8790503938,20.9358062783,2.56951433177e-38,9.71506842029e-14,0.009999440804,0.0,2.1565e+14,4313,2.69000005722,[  2.43372903e-28   1.60331180e-28   6.00011548e-28],True
SUCCESS,20160921-02400962,[ -6.19896901e-14   6.31479447e-14  -4.00982648e-14],9.71506842029e-14,0.009999440804,1.6827e-36,1.99625982189,2.3469389088,1.06655979e-28,1.78266184e-12,50000000000.0,-1,20160921-02401392,[ -1.56677687e-13  -2.91703765e-13   7.61255917e-15],3.31205276731e-13,0.034090007557,[  5.78394673 -18.70029458  -4.20136196],20.0201523359,1.78222466235,5.01235324213,30.4382818487,23.863122809,9.78615743602e-38,9.71506842029e-14,0.009999440804,0.0,1.8485e+14,3697,4.29800009727,[ -1.80250396e-29   5.80384437e-29   6.99509389e-29],True
SUCCESS,20160921-02401411,[ -3.14462587e-14   8.25780816e-14   4.03763383e-14],9.71506842029e-14,0.009999440804,1.6827e-36,1.14218813788,1.93464776255,1.06655979e-28,1.78266184e-12,50000000000.0,-1,20160921-02401670,[ -2.36985923e-14   7.41071031e-14   5.28990980e-14],9.40840080941e-14,0.00968379664291,[ 15.53436304  10.69507975   6.68774938],20.0106760945,1.23003040926,0.60295169729,13.3988241875,13.3810551187,7.89043850795e-39,9.71506842029e-14,0.009999440804,0.0,1.493e+14,2986,2.60400009155,[  1.14409082e-28   7.87238481e-29   1.59756653e-28],True
SUCCESS,20160921-02401697,[ -2.42216920e-15   9.22931500e-14  -3.02384358e-14],9.71506842029e-14,0.009999440804,1.6827e-36,1.88730750268,1.59703460481,1.06655979e-28,1.78266184e-12,50000000000.0,-1,20160921-02401768,[ -5.69454725e-15   7.57660065e-14  -2.96123153e-14],8.15463354448e-14,0.00839333001876,[ 19.87607129   2.16898194  -0.80079733],20.0100966776,1.61082668009,0.108695187024,2.31599031054,2.31540867572,5.92748983868e-39,9.71506842029e-14,0.009999440804,0.0,2.675e+13,535,0.709000110626,[ -2.80231630e-29  -6.42015405e-29   2.58153578e-29],True
